"user","country","ms_feat","app_use"
"3fe6fadd","UK","0",91
"dd0bf80b","UK","0",64
"938db17c","UK","1",82
"b0d287be","UK","1",78
"6ec93501","UK","1",45
"8161385a","UK","0",87
"c8a8a881","UK","1",72
"685ebf3b","UK","1",NA
"e931922a","UK","0",91
"602271eb","UK","0",81
"7ff9f928","UK","0",90
"9ba0ac00","UK","1",71
"3ed4965c","UK","0",73
"4e26ea78","UK","0",72
"4042acae","UK","1",67
"88fd418a","UK","0",84
"dfdb6273","UK","0",65
"bd288259","UK","0",57
"c77b585e","UK","1",76
"9bd9bcd9","UK","1",46
"a0950847","UK","1",58
"e920f78e","UK","0",97
"f62fede4","UK","1",57
"b6456428","UK","1",87
"c0040c4f","UK","1",51
"28b02bf0","UK","1",64
"f04034cf","UK","0",82
"8419631f","UK","0",76
"28b39f16","UK","0",92
"3150ceb3","UK","1",56
"97ac8d74","UK","0",93
"8e7cddf7","UK","0",70
"88e036d1","UK","0",75
"6ac6d405","UK","1",57
"081b2f33","UK","1",60
"48b297cb","UK","1",24
"481d5086","UK","0",54
"a99822cb","UK","1",50
"c9e9929f","UK","0",NA
"d2c423c6","UK","0",64
"b51f3ead","UK","1",57
"ab968d30","UK","0",46
"7841eb07","UK","1",78
"bbcf6fdc","UK","1",63
"dbfdd030","UK","1",95
"56c1409c","UK","1",72
"9dba2ec9","UK","0",75
"421eea2a","UK","1",50
"2e8b8f39","UK","1",72
"4198baa6","UK","0",80
"c2287564","UK","1",85
"bc794e8e","UK","0",73
"13c668b8","UK","1",72
"037e87cc","UK","1",53
"de5337c8","UK","1",55
"e65eab24","UK","0",69
"68b9487d","UK","1",75
"7b52fc88","UK","0",60
"72b08125","UK","0",NA
"0d264bcc","UK","0",71
"f6c8e2fe","UK","1",64
"2757fb51","UK","0",65
"b862a1d1","UK","0",69
"69af2787","UK","1",76
"e7127ede","UK","0",73
"0edbdcf1","UK","1",66
"2190a12c","UK","1",NA
"9dff4aad","UK","0",81
"5286e4a7","UK","0",65
"b6dab755","UK","1",71
"e8d59714","UK","0",95
"66efe89b","UK","1",54
"94c9eb9e","UK","0",63
"a03cc832","UK","0",89
"a752e2a9","UK","0",84
"a5bc5825","UK","1",74
"faea7ee6","UK","0",53
"0dc3f17c","UK","1",64
"a25925cd","UK","0",82
"a0afa72a","UK","0",69
"8eb9d5e5","UK","1",66
"6a79d9b6","UK","1",53
"58707bbe","UK","1",53
"1d60128f","UK","0",94
"02ea9d2c","UK","1",85
"0cef625f","UK","0",57
